timestamp,engine_rpm,coolant_temp,engine_vibration,engine_hours
2026-09-01 14:00:00,2500,88.5,12.4,1450
2026-09-01 14:05:00,2800,92.2,14.8,1451
2026-09-01 14:10:00,3200,,28.6,1452
2026-09-01 14:15:00,1500,85.0,11.2,1453
2026-09-01 14:20:00,1800,86.4,11.9,1454
2026-09-01 14:25:00,2100,87.8,12.5,1455
2026-09-01 14:30:00,2400,89.1,13.1,1456
2026-09-01 14:35:00,2700,91.5,15.2,1457
2026-09-01 14:40:00,3100,,31.4,1458
2026-09-01 14:45:00,1600,84.2,10.8,1459
2026-09-01 14:50:00,1950,85.9,11.5,1460
2026-09-01 14:55:00,2250,88.0,12.8,1461
2026-09-01 15:00:00,2550,89.5,13.4,1462
2026-09-01 15:05:00,2850,93.0,16.1,1463
2026-09-01 15:10:00,3300,,33.9,1464
2026-09-01 15:15:00,1400,83.5,10.1,1465
